filename,sample_time,dataset,flare_rate_y,flare_rate_m,flare_rate_w,max_flare_72h,max_flare_48h,max_flare_24h,xrsb_max_in_1h,xrsb_max_in_2h,xrsb_max_in_3h,xrsb_max_in_4h,xrsb_max_in_5h,xrsb_max_in_6h,xrsb_max_in_7h,xrsb_max_in_8h,xrsb_max_in_9h,xrsb_max_in_10h,xrsb_max_in_11h,xrsb_max_in_12h,xrsb_max_in_24h,xrsb_max_in_36h,xrsb_max_in_48h
/d0/euv/aia/preprocessed/aia_hmi_stacks_2010_2023_1d_full.zarr/,2010-06-02 07:48:09.558000,HMI,0.019178082191780823,0.03333333333333333,0.0,0,0,0,8.212393e-08,9.306354e-08,9.306354e-08,9.306354e-08,9.306354e-08,9.306354e-08,9.306354e-08,9.306354e-08,9.306354e-08,9.306354e-08,1.368222e-07,1.368222e-07,1.6234814e-07,1.693226e-07,1.693226e-07
/d0/euv/aia/preprocessed/aia_hmi_stacks_2010_2023_1d_full.zarr/,2010-06-03 07:48:09.551000,HMI,0.019178082191780823,0.03333333333333333,0.0,0,0,0,7.086557e-08,7.086557e-08,7.086557e-08,1.182709e-07,1.4015015e-07,1.4015015e-07,1.693226e-07,1.693226e-07,1.693226e-07,1.693226e-07,1.693226e-07,1.693226e-07,1.693226e-07,1.693226e-07,1.693226e-07
/d0/euv/aia/preprocessed/aia_hmi_stacks_2010_2023_1d_full.zarr/,2010-06-04 07:48:09.578000,HMI,0.019178082191780823,0.03333333333333333,0.0,0,0,0,6.690044e-08,6.690044e-08,7.054696e-08,7.054696e-08,7.054696e-08,7.054696e-08,7.054696e-08,7.054696e-08,7.054696e-08,7.054696e-08,7.054696e-08,7.054696e-08,8.1167975e-08,1.066939e-07,1.8295303e-07
/d0/euv/aia/preprocessed/aia_hmi_stacks_2010_2023_1d_full.zarr/,2010-06-05 07:48:09.552000,HMI,0.019178082191780823,0.0,0.0,0,0,0,7.38749e-08,1.066939e-07,1.066939e-07,1.066939e-07,1.066939e-07,1.066939e-07,1.066939e-07,1.066939e-07,1.066939e-07,1.066939e-07,1.066939e-07,1.066939e-07,1.8295303e-07,1.8295303e-07,2.701517e-07
/d0/euv/aia/preprocessed/aia_hmi_stacks_2010_2023_1d_full.zarr/,2010-06-06 07:48:09.558000,HMI,0.019178082191780823,0.0,0.0,0,0,0,5.5323472e-08,5.5323472e-08,5.5323472e-08,5.5323472e-08,5.5323472e-08,5.5323472e-08,5.8970024e-08,5.8970024e-08,5.8970024e-08,5.8970024e-08,5.8970024e-08,5.8970024e-08,2.701517e-07,2.701517e-07,2.701517e-07
/d0/euv/aia/preprocessed/aia_hmi_stacks_2010_2023_1d_full.zarr/,2010-06-07 07:48:09.554000,HMI,0.019178082191780823,0.0,0.0,0,0,0,5.135827e-08,6.959109e-08,8.0530796e-08,8.0530796e-08,8.0530796e-08,1.1334973e-07,1.1334973e-07,1.1334973e-07,1.1334973e-07,1.1334973e-07,1.1334973e-07,2.6285852e-07,2.6285852e-07,2.6285852e-07,7.0346556e-07
/d0/euv/aia/preprocessed/aia_hmi_stacks_2010_2023_1d_full.zarr/,2010-06-08 07:48:09.573000,HMI,0.019178082191780823,0.0,0.0,0,0,0,6.56259e-08,6.56259e-08,1.09384594e-07,1.786691e-07,1.786691e-07,1.786691e-07,1.786691e-07,1.786691e-07,1.786691e-07,1.786691e-07,1.786691e-07,1.786691e-07,7.0346556e-07,7.0346556e-07,7.0346556e-07
/d0/euv/aia/preprocessed/aia_hmi_stacks_2010_2023_1d_full.zarr/,2010-06-09 07:48:09.554000,HMI,0.019178082191780823,0.0,0.0,0,0,0,3.5704264e-07,3.5704264e-07,3.5704264e-07,3.5704264e-07,3.5704264e-07,3.5704264e-07,3.5704264e-07,3.5704264e-07,3.5704264e-07,3.5704264e-07,3.5704264e-07,3.5704264e-07,4.810254e-07,4.810254e-07,4.810254e-07
/d0/euv/aia/preprocessed/aia_hmi_stacks_2010_2023_1d_full.zarr/,2010-06-10 07:48:09.559000,HMI,0.019178082191780823,0.0,0.0,0,0,0,7.599241e-08,7.599241e-08,7.599241e-08,7.599241e-08,7.599241e-08,7.599241e-08,9.787175e-08,1.1245793e-07,1.1245793e-07,1.4527693e-07,1.4527693e-07,1.4527693e-07,1.4527693e-07,5.0602074e-07,2.9446664e-05
/d0/euv/aia/preprocessed/aia_hmi_stacks_2010_2023_1d_full.zarr/,2010-06-11 07:48:09.553000,HMI,0.019178082191780823,0.0,0.0,0,0,0,9.0313236e-08,9.0313236e-08,9.0313236e-08,1.7783067e-07,5.0602074e-07,5.0602074e-07,5.0602074e-07,5.0602074e-07,5.0602074e-07,5.0602074e-07,5.0602074e-07,5.0602074e-07,2.9446664e-05,2.9446664e-05,2.9446664e-05
